ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Selected_view,Selected_cls,Prediction,Accuracy,Oracle_view
0 (0.28),0 (0.28),0 (0.04),0 (0.16),0 (0.32),0 (0.0),0 (0.0),0 (0.04),0 (0.32),0 (0.2),0 (0.24),0 (0.04),0 (0.04),0 (0.16),0 (0.12),0,"ELMO,Falcon",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.0),1 (0.44),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.24),1 (0.32),1 (0.0),1 (0.0),1 (0.2),1 (0.0),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.12),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"BERT,DistilBERT,ELMO,Falcon,Fasttext,LLAMA,W2V,XLNET,LLAMA3,MISTRAL",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.24),0 (0.2),0 (0.08),0 (0.0),0 (0.2),0 (0.04),0 (0.04),0 (0.32),0 (0.44),0 (0.16),0 (0.12),0 (0.32),0 (0.2),0 (0.08),0 (0.0),0,"DistilBERT,MISTRAL",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.12),1 (0.24),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.12),1 (0.04),1 (0.24),1 (0.04),1 (0.08),1 (0.0),1 (0.12),1,"BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,LLAMA3",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.2),0 (0.04),0 (0.24),0 (0.32),0 (0.12),0 (0.24),0 (0.32),0 (0.4),0 (0.44),0 (0.08),0 (0.44),0 (0.48),0 (0.56),0 (0.28),0 (0.08),0,BART,BART,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
1 (0.08),1 (0.28),1 (0.08),1 (0.0),1 (0.24),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1,"DistilBERT,Falcon,Fasttext,Glove,LLAMA,W2V,LLAMA3,MISTRAL",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.04),0 (0.04),0 (0.16),0 (0.08),0 (0.28),0 (0.0),0 (0.04),0 (0.12),0 (0.28),0 (0.0),0 (0.32),0 (0.04),0 (0.24),0 (0.16),0 (0.0),0,"ELMO,LLAMA,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0)",TRUE,TRUE
0 (0.08),0 (0.36),0 (0.12),0 (0.08),0 (0.24),0 (0.2),0 (0.12),0 (0.44),0 (0.56),0 (0.04),0 (0.04),0 (0.12),0 (0.08),0 (0.0),0 (0.0),0,"LLAMA3,MISTRAL",LLAMA3,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
0 (0.04),0 (0.16),0 (0.08),0 (0.2),0 (0.2),0 (0.04),0 (0.28),0 (0.36),0 (0.52),0 (0.0),0 (0.44),0 (0.44),0 (0.16),0 (0.24),0 (0.16),0,LLAMA,LLAMA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
0 (0.0),0 (0.28),0 (0.36),0 (0.0),0 (0.16),0 (0.04),0 (0.2),0 (0.04),0 (0.08),0 (0.0),0 (0.44),0 (0.0),0 (0.16),0 (0.12),0 (0.32),0,"ALBERT,DistilBERT,LLAMA,W2V",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0)",TRUE,TRUE
1 (0.28),0 (0.52),0 (0.2),0 (0.16),0 (0.44),0 (0.2),0 (0.12),0 (0.2),0 (0.44),0 (0.04),0 (0.28),1 (0.2),1 (0.04),0 (0.4),0 (0.2),0,"LLAMA,XLNET",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 1)",TRUE,TRUE
1 (0.36),0 (0.12),1 (0.0),1 (0.08),0 (0.52),1 (0.24),1 (0.0),1 (0.04),1 (0.16),1 (0.0),1 (0.04),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1,"BERT,Falcon,LLAMA,W2V,LLAMA3,MISTRAL",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.56),1 (0.24),0 (0.12),0 (0.04),0 (0.28),0 (0.12),0 (0.12),0 (0.28),0 (0.2),1 (0.28),0 (0.2),0 (0.08),0 (0.2),0 (0.2),0 (0.0),0,MISTRAL,MISTRAL,"AdaBoost, KNN, LR, MLP, RF, SVM, XGBoost","(0,)",TRUE,TRUE
0 (0.08),0 (0.2),0 (0.0),0 (0.28),0 (0.28),0 (0.04),0 (0.04),0 (0.04),0 (0.12),0 (0.0),0 (0.0),0 (0.0),0 (0.08),0 (0.2),0 (0.04),0,"BERT,LLAMA,RoBERTa,W2V",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0)",TRUE,TRUE
1 (0.08),1 (0.36),1 (0.04),1 (0.0),1 (0.52),1 (0.12),1 (0.12),1 (0.08),1 (0.36),1 (0.28),1 (0.24),1 (0.32),1 (0.28),1 (0.04),1 (0.16),1,DistilBERT,DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1,)",TRUE,TRUE
0 (0.36),0 (0.52),0 (0.56),0 (0.2),0 (0.32),0 (0.12),0 (0.0),0 (0.16),0 (0.12),0 (0.0),0 (0.16),0 (0.08),0 (0.24),0 (0.0),0 (0.0),0,"Falcon,LLAMA,LLAMA3,MISTRAL",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0)",TRUE,TRUE
1 (0.2),1 (0.36),1 (0.08),1 (0.04),1 (0.28),1 (0.04),1 (0.0),0 (0.36),0 (0.4),1 (0.0),1 (0.2),1 (0.16),0 (0.32),1 (0.2),1 (0.0),1,"Falcon,LLAMA,MISTRAL",Falcon,"KNN, LR, MLP, RF, XGBoost","(1, 1, 1)",TRUE,TRUE
1 (0.52),1 (0.44),1 (0.0),1 (0.24),0 (0.44),1 (0.16),1 (0.0),1 (0.36),0 (0.32),1 (0.0),1 (0.08),1 (0.12),1 (0.28),1 (0.0),1 (0.0),1,"BERT,Falcon,LLAMA,LLAMA3,MISTRAL",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.12),0 (0.24),1 (0.28),1 (0.28),0 (0.44),1 (0.16),0 (0.0),0 (0.32),0 (0.48),0 (0.52),0 (0.04),0 (0.28),0 (0.16),0 (0.16),0 (0.12),0,Falcon,Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
1 (0.04),1 (0.44),1 (0.04),1 (0.04),1 (0.08),1 (0.0),1 (0.0),1 (0.16),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ELMO,Falcon,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.04),1 (0.52),1 (0.0),1 (0.0),1 (0.04),1 (0.44),1 (0.12),1 (0.24),1 (0.0),1 (0.0),1 (0.2),1 (0.04),1 (0.68),1 (0.28),1 (0.24),1,"BERT,DistilBERT,Glove,LLAMA",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1)",TRUE,TRUE
0 (0.04),0 (0.44),1 (0.36),0 (0.24),0 (0.08),0 (0.12),0 (0.2),0 (0.04),0 (0.36),0 (0.2),0 (0.4),0 (0.12),0 (0.24),0 (0.4),0 (0.0),0,MISTRAL,MISTRAL,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
0 (0.24),0 (0.12),0 (0.28),0 (0.24),1 (0.48),1 (0.32),1 (0.44),0 (0.48),1 (0.32),1 (0.2),0 (0.0),1 (0.44),0 (0.36),1 (0.08),0 (0.28),0,RoBERTa,RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
0 (0.24),0 (0.44),0 (0.0),0 (0.04),0 (0.24),0 (0.0),0 (0.0),0 (0.08),0 (0.24),0 (0.04),0 (0.0),0 (0.0),0 (0.56),0 (0.0),0 (0.0),0,"BERT,ELMO,Falcon,RoBERTa,W2V,LLAMA3,MISTRAL",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0, 0)",TRUE,TRUE
1 (0.0),1 (0.4),1 (0.16),1 (0.0),1 (0.28),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.36),1 (0.0),1 (0.0),1,"ALBERT,DistilBERT,ELMO,Falcon,Fasttext,Glove,LLAMA,W2V,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.56),1 (0.28),1 (0.24),1 (0.04),1 (0.28),1 (0.36),0 (0.08),1 (0.12),1 (0.0),1 (0.16),1 (0.12),1 (0.12),1 (0.28),1 (0.32),1 (0.36),1,Glove,Glove,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1,)",TRUE,TRUE
1 (0.08),1 (0.2),1 (0.04),1 (0.04),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.44),1 (0.0),1 (0.16),1 (0.2),1 (0.24),1 (0.0),1 (0.0),1,"ELECTRA,Falcon,Fasttext,LLAMA,LLAMA3,MISTRAL",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.32),0 (0.32),0 (0.2),0 (0.4),0 (0.08),0 (0.04),0 (0.04),0 (0.28),0 (0.04),0 (0.0),0 (0.0),0 (0.04),0 (0.12),0 (0.0),0 (0.16),0,"LLAMA,RoBERTa,LLAMA3",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0)",TRUE,TRUE
0 (0.2),0 (0.56),1 (0.2),1 (0.36),0 (0.28),0 (0.0),0 (0.24),0 (0.04),0 (0.0),0 (0.32),0 (0.52),1 (0.0),0 (0.48),0 (0.24),0 (0.08),1,"ELMO,Glove,W2V",W2V,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 1)",TRUE,TRUE
0 (0.16),0 (0.32),0 (0.0),1 (0.2),0 (0.24),0 (0.44),1 (0.0),1 (0.12),1 (0.12),0 (0.28),1 (0.32),1 (0.16),1 (0.48),1 (0.08),0 (0.08),0,"BERT,Falcon",BERT,"BiLSTM, CNN, KNN, MLP","(0, 1)",TRUE,TRUE
0 (0.08),0 (0.36),0 (0.04),0 (0.0),0 (0.4),0 (0.0),0 (0.0),0 (0.28),0 (0.08),0 (0.0),0 (0.28),0 (0.12),0 (0.12),0 (0.0),0 (0.0),0,"DistilBERT,ELMO,Falcon,LLAMA,LLAMA3,MISTRAL",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0)",TRUE,TRUE
0 (0.16),0 (0.36),1 (0.08),0 (0.32),1 (0.2),0 (0.44),1 (0.12),1 (0.08),0 (0.2),0 (0.4),1 (0.28),1 (0.2),0 (0.16),0 (0.6),1 (0.2),1,"BERT,Fasttext",BERT,"BiLSTM, CNN, KNN, NB, SVM, XGBoost","(1, 1)",TRUE,TRUE
1 (0.28),1 (0.32),1 (0.04),1 (0.04),1 (0.4),1 (0.0),1 (0.08),1 (0.2),1 (0.24),1 (0.04),1 (0.32),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1,"ELMO,W2V,LLAMA3,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1)",TRUE,TRUE
1 (0.04),1 (0.36),1 (0.0),1 (0.0),1 (0.4),1 (0.0),1 (0.0),1 (0.04),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"BERT,DistilBERT,ELMO,Falcon,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.24),0 (0.48),0 (0.36),0 (0.24),0 (0.24),0 (0.0),0 (0.16),0 (0.32),0 (0.4),0 (0.32),0 (0.12),0 (0.4),0 (0.44),0 (0.12),0 (0.2),0,ELMO,ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
1 (0.0),1 (0.2),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.12),0 (0.4),0 (0.08),0 (0.04),0 (0.28),0 (0.44),0 (0.2),0 (0.4),0 (0.32),0 (0.08),0 (0.28),0 (0.32),0 (0.48),1 (0.16),1 (0.04),1,"DistilBERT,MISTRAL",MISTRAL,"KNN, SVM","(0, 1)",TRUE,TRUE
0 (0.48),0 (0.36),1 (0.32),0 (0.36),1 (0.4),1 (0.2),0 (0.2),1 (0.24),1 (0.2),1 (0.56),1 (0.44),0 (0.36),1 (0.48),1 (0.16),1 (0.24),1,LLAMA3,LLAMA3,"LR, MLP","(1,)",TRUE,TRUE
0 (0.16),0 (0.32),1 (0.08),0 (0.52),0 (0.04),0 (0.28),0 (0.12),0 (0.48),0 (0.4),0 (0.0),0 (0.08),0 (0.44),1 (0.4),0 (0.04),0 (0.0),0,"LLAMA,MISTRAL",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.32),1 (0.04),1 (0.24),1 (0.12),1 (0.0),1 (0.32),1 (0.04),1 (0.08),1 (0.12),1 (0.0),1 (0.32),1 (0.2),1 (0.48),1 (0.04),1 (0.04),1,"ELECTRA,LLAMA",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1)",TRUE,TRUE
0 (0.16),0 (0.36),0 (0.04),0 (0.0),0 (0.24),0 (0.24),0 (0.08),0 (0.08),0 (0.44),0 (0.08),0 (0.16),0 (0.0),0 (0.12),0 (0.2),0 (0.04),0,"DistilBERT,W2V",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
0 (0.24),1 (0.48),0 (0.4),0 (0.08),0 (0.36),0 (0.04),0 (0.04),0 (0.32),1 (0.04),0 (0.2),1 (0.08),1 (0.24),1 (0.28),0 (0.08),0 (0.2),0,"ELMO,Falcon,Glove",ELMO,"BiLSTM, CNN, KNN, MLP, RF, XGBoost","(0, 0, 1)",TRUE,TRUE
1 (0.0),1 (0.16),1 (0.0),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,Falcon,Fasttext,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.12),0 (0.44),0 (0.16),0 (0.08),0 (0.2),0 (0.64),0 (0.16),0 (0.32),0 (0.28),0 (0.16),0 (0.24),0 (0.32),0 (0.24),0 (0.24),0 (0.08),0,"DistilBERT,MISTRAL",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.0),1 (0.52),1 (0.0),1 (0.0),1 (0.0),1 (0.44),1 (0.0),1 (0.08),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,Falcon,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.04),1 (0.32),1 (0.16),1 (0.08),1 (0.0),1 (0.12),1 (0.0),1 (0.08),1 (0.04),1 (0.0),1 (0.4),1 (0.08),1 (0.44),1 (0.0),1 (0.0),1,"ELECTRA,Falcon,LLAMA,LLAMA3,MISTRAL",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.28),0 (0.16),0 (0.12),0 (0.28),0 (0.2),0 (0.24),0 (0.04),0 (0.4),0 (0.0),0 (0.2),0 (0.16),0 (0.08),0 (0.04),0 (0.0),0 (0.0),0,"Glove,LLAMA3,MISTRAL",Glove,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0)",TRUE,TRUE
1 (0.0),1 (0.36),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,Falcon,Fasttext,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.08),1 (0.24),1 (0.04),1 (0.12),1 (0.12),1 (0.16),1 (0.0),1 (0.0),1 (0.0),1 (0.0),0 (0.0),1 (0.0),1 (0.12),1 (0.0),1 (0.0),1,"Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 0, 1, 1, 1)",TRUE,TRUE
1 (0.36),1 (0.36),1 (0.4),1 (0.28),1 (0.4),1 (0.36),1 (0.28),0 (0.0),0 (0.2),1 (0.12),1 (0.48),0 (0.24),1 (0.16),1 (0.16),1 (0.16),1,Fasttext,Fasttext,"BiLSTM, CNN, KNN, MLP, RF, SVM","(0,)",FALSE,TRUE
1 (0.0),1 (0.44),0 (0.2),0 (0.0),0 (0.16),0 (0.36),0 (0.04),1 (0.2),0 (0.4),0 (0.0),0 (0.08),0 (0.16),0 (0.28),0 (0.0),0 (0.0),0,"ALBERT,DistilBERT,LLAMA,LLAMA3,MISTRAL",DistilBERT,"BiLSTM, CNN, KNN, LR, MLP","(1, 0, 0, 0, 0)",TRUE,TRUE
0 (0.24),0 (0.28),0 (0.08),0 (0.48),0 (0.08),0 (0.24),0 (0.04),0 (0.44),0 (0.04),0 (0.0),0 (0.44),0 (0.04),0 (0.0),0 (0.04),0 (0.04),0,"LLAMA,XLNET",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.0),1 (0.52),1 (0.0),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
