ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected_view,Selected_cls,Accuracy,Oracle_view
3 (0.84),1 (0.84),5 (0.88),3 (0.76),1 (0.84),1 (0.84),0 (0.76),3 (0.88),3 (0.8),3 (0.92),3 (0.84),0 (0.72),3 (0.88),3 (0.92),1 (0.72),4,"W2V,MISTRAL","(0, 1)",W2V,"AdaBoost, KNN, LR, MLP, RF, SVM, XGBoost",FALSE,FALSE
1 (0.72),1 (0.84),1 (0.76),1 (0.8),1 (0.72),1 (0.88),1 (0.6),2 (0.84),0 (0.8),1 (0.84),4 (0.84),3 (0.72),1 (0.84),2 (0.72),1 (0.6),3,"Falcon,MISTRAL","(1, 1)",MISTRAL,"AdaBoost, KNN, LR, MLP, SVM, XGBoost",FALSE,TRUE
3 (0.68),5 (0.8),4 (0.6),4 (0.84),4 (0.88),4 (0.8),4 (0.72),4 (0.92),1 (0.6),4 (0.8),3 (0.92),4 (0.92),3 (0.76),4 (0.84),1 (0.8),1,"BERT,Glove","(4, 1)",Glove,KNN,TRUE,TRUE
1 (0.64),1 (0.88),1 (0.72),2 (0.88),1 (0.8),2 (0.76),2 (0.84),1 (0.84),1 (0.88),1 (0.84),1 (0.72),2 (0.72),3 (0.72),1 (0.76),0 (0.8),0,ALBERT,"(1,)",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, RF, SVM, XGBoost",FALSE,TRUE
4 (0.84),1 (0.92),3 (0.88),3 (0.72),1 (0.92),1 (0.64),2 (0.84),3 (0.72),1 (0.96),4 (0.8),1 (0.72),3 (0.76),1 (0.92),4 (0.64),1 (0.84),5,"ELMO,LLAMA3","(1, 4)",ELMO,"AdaBoost, BiLSTM, CNN, KNN, NB, XGBoost",FALSE,FALSE
1 (0.72),4 (0.76),4 (0.76),5 (0.92),4 (0.76),5 (0.88),3 (0.8),5 (0.88),1 (0.92),5 (0.8),5 (0.88),1 (0.76),5 (0.68),4 (0.68),3 (0.92),5,"XLNET,LLAMA3","(5, 4)",XLNET,"BiLSTM, CNN, LR, RF, SVM",TRUE,TRUE
4 (0.84),1 (0.68),4 (0.88),5 (0.72),3 (0.64),5 (0.84),4 (0.8),5 (0.8),4 (0.72),4 (0.88),3 (0.72),5 (0.8),5 (0.88),4 (0.84),4 (0.84),3,ELECTRA,"(3,)",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",TRUE,TRUE
3 (0.92),2 (0.72),1 (0.88),3 (0.72),2 (0.8),2 (0.88),3 (0.8),4 (0.8),1 (0.72),3 (0.84),4 (0.96),0 (0.88),0 (0.76),3 (0.88),3 (0.72),3,"BART,DistilBERT,Glove,MISTRAL","(2, 3, 1, 3)",DistilBERT,"LR, MLP, XGBoost",TRUE,TRUE
4 (0.88),1 (0.8),4 (0.76),4 (0.72),1 (0.84),3 (0.68),4 (0.76),3 (0.8),3 (0.84),4 (0.72),4 (0.72),3 (0.84),4 (0.68),4 (0.68),4 (0.76),5,"ELMO,XLNET,LLAMA3","(3, 4, 4)",XLNET,"BiLSTM, CNN, LR, MLP, RF, SVM, XGBoost",FALSE,FALSE
1 (0.76),2 (0.8),3 (0.88),2 (0.76),3 (0.88),1 (0.88),1 (0.76),1 (0.84),1 (0.88),3 (0.88),1 (0.92),1 (0.84),1 (0.84),1 (0.8),1 (0.72),1,MISTRAL,"(1,)",MISTRAL,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",TRUE,TRUE
4 (0.88),3 (0.76),3 (0.8),4 (0.76),3 (0.92),3 (0.84),5 (0.88),2 (0.76),5 (0.68),5 (0.8),5 (0.68),4 (0.8),3 (0.6),5 (0.88),5 (0.72),2,XLNET,"(3,)",XLNET,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, RF, SVM, XGBoost",FALSE,TRUE
1 (0.8),3 (0.8),2 (0.84),2 (0.64),4 (0.84),1 (0.64),1 (0.76),1 (0.84),1 (0.8),1 (0.84),2 (0.84),2 (0.84),1 (0.84),0 (0.84),1 (0.92),1,"DistilBERT,ELMO","(2, 1)",ELMO,"BiLSTM, CNN, KNN, RF",TRUE,TRUE
1 (0.68),3 (0.76),1 (0.72),3 (0.8),1 (0.6),1 (0.4),1 (0.96),3 (0.8),1 (0.92),1 (0.64),1 (0.64),3 (0.76),1 (0.76),1 (0.6),1 (0.6),1,ELMO,"(1,)",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
4 (0.76),3 (0.72),2 (0.76),2 (0.84),1 (0.84),3 (0.8),0 (0.88),3 (0.84),3 (0.6),3 (0.68),3 (0.76),1 (0.84),1 (0.84),0 (0.8),3 (0.72),4,Glove,"(3,)",Glove,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM",FALSE,TRUE
4 (0.64),1 (0.88),4 (0.68),4 (0.36),4 (0.68),4 (0.52),4 (0.4),4 (0.56),4 (0.72),4 (0.44),4 (0.56),4 (0.28),1 (0.28),4 (0.52),4 (0.4),1,"W2V,XLNET","(4, 1)",XLNET,"BiLSTM, CNN, KNN, LR, MLP, NB, SVM, XGBoost",TRUE,TRUE
3 (0.76),3 (0.76),3 (0.92),1 (0.68),3 (0.88),1 (0.8),2 (0.8),3 (0.8),3 (0.84),3 (0.76),3 (0.96),2 (0.76),3 (0.92),3 (0.64),2 (0.8),1,LLAMA3,"(3,)",LLAMA3,"AdaBoost, BiLSTM, CNN, LR, NB, RF, SVM, XGBoost",FALSE,TRUE
3 (0.76),5 (0.8),3 (0.8),3 (0.88),5 (0.72),5 (0.76),5 (0.72),4 (0.68),3 (0.84),3 (0.72),5 (0.68),4 (0.64),3 (0.92),5 (0.96),5 (0.76),2,W2V,"(4,)",W2V,"AdaBoost, BiLSTM, CNN, KNN, LR, RF, SVM, XGBoost",FALSE,FALSE
0 (0.72),1 (0.8),1 (0.88),3 (0.92),1 (0.84),3 (0.84),1 (0.76),1 (0.76),1 (0.76),1 (0.84),1 (0.68),1 (0.88),1 (0.76),1 (0.68),1 (0.76),1,"RoBERTa,LLAMA3","(1, 1)",RoBERTa,"AdaBoost, KNN, SVM",TRUE,TRUE
4 (0.96),4 (0.72),4 (0.92),4 (0.72),4 (0.84),4 (0.64),4 (0.84),3 (0.72),3 (0.72),4 (0.88),4 (0.92),4 (0.72),3 (0.88),4 (0.84),4 (0.84),5,ELMO,"(4,)",ELMO,"BiLSTM, CNN, KNN, MLP, RF, SVM, XGBoost",FALSE,FALSE
1 (0.92),3 (0.84),3 (0.76),1 (0.72),4 (0.8),2 (0.76),1 (0.96),1 (0.88),1 (0.84),1 (0.8),2 (0.88),1 (0.84),2 (0.8),3 (0.76),1 (0.76),1,DistilBERT,"(1,)",DistilBERT,"BiLSTM, CNN, KNN, MLP, RF, SVM, XGBoost",TRUE,TRUE
2 (0.84),1 (0.84),4 (0.88),4 (0.72),3 (0.84),1 (0.88),2 (0.88),1 (0.8),3 (0.8),0 (0.92),1 (0.88),3 (0.92),4 (0.76),2 (0.88),1 (0.84),2,DistilBERT,"(4,)",DistilBERT,"AdaBoost, KNN, LR, MLP, XGBoost",FALSE,TRUE
3 (0.84),1 (0.8),1 (0.8),1 (0.72),1 (0.76),2 (0.72),1 (0.76),1 (0.72),1 (0.76),3 (0.96),1 (0.72),1 (0.72),1 (0.76),1 (0.84),3 (0.92),5,"DistilBERT,ELMO,Fasttext,RoBERTa,W2V","(1, 2, 1, 1, 1)",DistilBERT,"BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",FALSE,FALSE
2 (0.8),1 (0.96),1 (0.76),1 (0.76),1 (0.92),0 (0.76),2 (0.92),0 (0.76),1 (0.8),2 (0.92),1 (0.76),1 (0.8),2 (0.84),1 (0.8),4 (0.92),4,"BERT,DistilBERT,ELMO,Fasttext,RoBERTa","(1, 1, 0, 0, 1)",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, SVM, XGBoost",FALSE,TRUE
3 (0.8),1 (0.84),3 (1.0),3 (0.84),1 (0.8),3 (0.88),3 (0.92),1 (0.88),1 (0.6),3 (0.8),3 (0.6),1 (0.84),1 (0.84),1 (0.8),1 (0.92),3,"Glove,RoBERTa","(1, 3)",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, SVM, XGBoost",TRUE,TRUE
1 (0.88),3 (0.88),3 (0.8),1 (0.72),3 (0.8),2 (0.8),1 (0.8),4 (0.68),3 (0.8),3 (0.8),1 (0.88),1 (0.92),3 (0.96),3 (0.8),1 (0.8),4,Fasttext,"(4,)",Fasttext,"BiLSTM, CNN, KNN, LR, NB",TRUE,TRUE
1 (0.84),2 (0.72),3 (0.88),1 (0.84),1 (0.84),1 (0.92),2 (0.84),3 (0.96),1 (0.84),4 (0.68),3 (0.8),2 (0.88),3 (0.88),4 (0.84),2 (0.68),5,"LLAMA,MISTRAL","(4, 2)",LLAMA,"BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",FALSE,FALSE
1 (0.84),3 (0.8),0 (0.76),1 (0.8),2 (0.96),1 (0.88),1 (0.72),2 (0.88),1 (0.72),1 (0.84),1 (0.8),1 (0.76),0 (0.76),1 (0.8),1 (0.84),5,"Falcon,Glove","(1, 1)",Glove,"AdaBoost, BiLSTM, CNN, KNN, NB, SVM",FALSE,FALSE
1 (0.92),1 (0.76),3 (0.64),1 (0.84),1 (0.76),1 (0.88),1 (0.88),1 (0.84),2 (0.64),1 (0.76),1 (0.88),1 (0.68),3 (0.88),1 (0.92),1 (0.68),3,"BERT,Glove","(3, 2)",BERT,"AdaBoost, BiLSTM, CNN, RF, SVM",TRUE,TRUE
4 (0.8),1 (0.92),3 (0.32),3 (0.44),3 (0.84),4 (0.68),4 (0.56),4 (0.84),4 (0.76),4 (0.68),4 (0.8),4 (0.8),4 (0.8),4 (0.72),3 (0.84),5,BERT,"(3,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",FALSE,FALSE
1 (0.92),4 (0.76),1 (0.92),1 (0.76),1 (0.76),2 (0.88),1 (0.8),1 (0.8),1 (0.92),1 (0.84),1 (0.76),1 (0.76),1 (0.96),1 (0.76),1 (0.84),0,"BART,DistilBERT,ELECTRA,RoBERTa,W2V,LLAMA3","(4, 1, 1, 1, 1, 1)",W2V,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, SVM, XGBoost",FALSE,FALSE
1 (0.84),4 (0.88),3 (0.84),1 (0.88),1 (0.84),4 (0.8),4 (0.8),3 (0.92),1 (0.84),4 (0.88),3 (0.76),4 (0.84),4 (0.72),4 (0.84),3 (0.88),5,XLNET,"(4,)",XLNET,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
3 (0.72),4 (0.72),3 (0.6),3 (0.92),1 (0.76),1 (0.76),1 (0.64),0 (0.88),2 (0.84),1 (0.88),3 (0.96),3 (0.76),2 (0.84),1 (0.88),1 (0.84),2,BERT,"(3,)",BERT,"BiLSTM, CNN, KNN, SVM",FALSE,TRUE
0 (0.96),0 (0.68),0 (0.88),1 (0.72),4 (0.76),1 (0.76),0 (0.76),0 (0.88),0 (0.84),0 (0.6),0 (0.88),0 (0.88),0 (0.84),0 (0.88),0 (0.92),3,LLAMA,"(0,)",LLAMA,"BiLSTM, CNN, KNN, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
1 (0.72),1 (0.56),5 (0.8),1 (0.8),3 (0.72),1 (0.76),3 (0.72),3 (0.76),3 (0.84),1 (0.96),1 (0.96),1 (0.64),1 (0.84),3 (0.72),3 (0.8),0,BART,"(1,)",BART,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",FALSE,FALSE
4 (0.88),3 (0.76),4 (0.88),3 (0.76),1 (0.8),3 (0.84),3 (0.64),3 (0.92),2 (0.64),4 (0.84),4 (0.84),1 (0.8),3 (0.76),1 (0.76),4 (0.64),2,"Falcon,Glove,MISTRAL","(3, 2, 4)",Glove,XGBoost,TRUE,TRUE
2 (0.96),2 (0.76),3 (0.72),3 (0.72),3 (0.8),3 (0.84),3 (0.72),3 (0.88),1 (0.76),3 (0.76),3 (0.72),3 (0.76),3 (0.72),3 (0.84),3 (0.76),2,"BERT,DistilBERT,Falcon,RoBERTa,XLNET","(3, 3, 3, 3, 3)",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
1 (0.84),3 (0.8),1 (0.8),0 (0.92),1 (0.96),3 (0.8),1 (0.88),0 (0.8),1 (0.76),1 (0.8),1 (0.64),1 (0.8),1 (0.8),1 (0.88),1 (0.84),2,RoBERTa,"(1,)",RoBERTa,"KNN, MLP, NB, RF",FALSE,FALSE
1 (0.92),3 (0.84),3 (0.8),1 (0.88),2 (0.72),1 (0.8),1 (0.72),1 (0.76),1 (0.72),1 (0.84),1 (0.96),1 (0.76),1 (0.72),1 (0.84),1 (0.72),2,"ELECTRA,Falcon,Glove,XLNET,MISTRAL","(2, 1, 1, 1, 1)",ELECTRA,"LR, MLP, NB",TRUE,TRUE
2 (0.52),2 (0.84),3 (0.84),2 (0.64),1 (0.64),3 (0.52),2 (0.64),3 (0.8),1 (0.64),2 (0.8),2 (0.68),1 (0.68),2 (0.8),2 (0.6),2 (0.68),2,"ALBERT,ELMO","(2, 3)",ALBERT,"BiLSTM, CNN, KNN, LR, MLP, RF",TRUE,TRUE
4 (0.52),3 (0.76),3 (0.88),3 (0.8),1 (0.8),1 (0.76),3 (0.64),4 (0.6),4 (0.84),3 (0.8),1 (0.72),3 (0.84),3 (0.92),3 (0.52),3 (0.76),3,"ALBERT,LLAMA3","(4, 3)",LLAMA3,"BiLSTM, CNN, KNN, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
0 (0.84),2 (0.76),0 (0.72),0 (0.92),1 (0.72),0 (0.84),4 (0.84),5 (0.72),1 (0.92),5 (0.8),5 (0.72),0 (0.84),4 (0.8),4 (0.84),4 (0.8),1,"BERT,ELECTRA,Fasttext,RoBERTa","(0, 1, 5, 5)",ELECTRA,"BiLSTM, CNN, KNN, LR, MLP",TRUE,TRUE
0 (0.92),1 (0.8),0 (0.76),0 (0.88),1 (0.84),0 (0.92),1 (0.72),1 (0.92),1 (0.76),1 (0.92),1 (0.76),1 (0.84),1 (0.8),1 (0.92),1 (0.76),0,Falcon,"(1,)",Falcon,"BiLSTM, CNN, KNN, LR, MLP, XGBoost",FALSE,TRUE
1 (0.72),5 (0.76),1 (0.84),1 (0.84),1 (0.72),1 (0.88),0 (0.76),1 (0.88),0 (0.84),1 (0.92),0 (0.72),3 (0.88),2 (0.88),3 (0.72),0 (0.92),3,"ALBERT,ELECTRA,RoBERTa,LLAMA3","(1, 1, 0, 3)",LLAMA3,"AdaBoost, BiLSTM, CNN, LR, MLP, RF, SVM, XGBoost",TRUE,TRUE
3 (0.8),3 (0.8),5 (0.84),1 (0.88),3 (0.8),1 (0.84),3 (0.76),4 (0.84),4 (0.8),3 (0.92),4 (0.72),4 (0.8),3 (0.72),4 (0.8),3 (0.8),3,"RoBERTa,XLNET","(4, 3)",XLNET,"AdaBoost, BiLSTM, CNN, KNN, LR, SVM",TRUE,TRUE
4 (0.56),1 (0.8),4 (0.8),4 (0.8),4 (0.84),4 (0.72),4 (0.8),4 (0.84),4 (0.72),4 (0.68),4 (0.72),3 (0.88),1 (0.88),4 (0.76),4 (0.68),4,ALBERT,"(4,)",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, SVM, XGBoost",TRUE,TRUE
1 (0.64),1 (0.96),2 (0.68),4 (0.68),1 (0.76),1 (0.76),2 (0.52),1 (0.76),1 (0.76),2 (0.64),3 (0.92),1 (0.76),1 (0.84),2 (0.52),2 (0.6),2,"Falcon,LLAMA3","(2, 2)",Falcon,"BiLSTM, CNN, KNN, LR, MLP, NB, XGBoost",TRUE,TRUE
2 (0.64),1 (0.76),2 (0.56),1 (0.8),3 (0.88),1 (0.56),1 (0.84),1 (0.8),2 (0.84),1 (1.0),1 (0.84),3 (0.84),4 (0.92),1 (0.8),1 (0.84),2,"BERT,ELMO","(2, 1)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
3 (0.92),3 (0.72),4 (0.8),4 (0.64),3 (0.64),4 (0.8),4 (0.72),4 (0.84),4 (0.8),4 (0.92),4 (0.84),4 (0.68),4 (0.8),4 (0.8),4 (0.68),3,"DistilBERT,ELECTRA","(4, 3)",ELECTRA,"AdaBoost, KNN, LR, MLP, XGBoost",TRUE,TRUE
3 (0.84),2 (0.8),4 (0.88),2 (0.8),3 (0.72),4 (0.84),2 (0.8),0 (0.8),3 (0.76),3 (0.68),3 (0.64),4 (0.64),1 (0.88),3 (0.92),2 (0.84),3,"RoBERTa,W2V","(3, 4)",RoBERTa,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
1 (0.84),1 (0.84),3 (0.72),3 (0.64),1 (0.8),1 (0.84),1 (0.76),4 (0.84),3 (0.92),1 (0.76),1 (0.8),1 (0.68),3 (0.72),1 (0.68),1 (0.64),0,"DistilBERT,MISTRAL","(3, 1)",DistilBERT,"BiLSTM, CNN, KNN, LR, MLP, NB, SVM, XGBoost",FALSE,FALSE
5 (0.88),1 (0.84),4 (0.88),1 (0.8),1 (0.96),1 (0.84),2 (0.76),1 (0.72),1 (0.88),1 (0.8),1 (0.8),1 (0.92),1 (0.76),4 (0.76),1 (0.84),2,Fasttext,"(1,)",Fasttext,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM",FALSE,TRUE
2 (0.92),2 (0.92),2 (0.76),1 (0.56),0 (0.76),1 (0.68),1 (0.92),1 (0.88),2 (0.68),3 (0.88),0 (0.88),1 (0.64),1 (0.76),1 (0.76),1 (0.8),1,DistilBERT,"(1,)",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
2 (0.8),1 (0.84),3 (0.72),0 (0.68),2 (0.76),1 (0.52),3 (0.8),1 (0.72),2 (0.84),0 (0.92),1 (0.84),1 (0.76),2 (0.52),3 (0.92),4 (0.84),1,"ELMO,XLNET","(1, 2)",ELMO,"BiLSTM, CNN, KNN, MLP, RF, SVM, XGBoost",TRUE,TRUE
1 (0.8),1 (0.88),1 (0.8),1 (0.72),1 (0.76),0 (0.84),2 (0.76),1 (0.64),1 (0.84),2 (0.68),0 (0.76),1 (0.92),0 (0.64),0 (0.8),0 (0.68),0,"Fasttext,XLNET","(1, 0)",XLNET,"BiLSTM, CNN, SVM, XGBoost",TRUE,TRUE
1 (0.88),4 (0.76),4 (1.0),3 (0.88),3 (0.84),1 (0.88),1 (0.96),1 (0.64),1 (0.68),1 (0.84),0 (0.72),1 (0.84),2 (0.88),0 (0.8),1 (0.88),1,Fasttext,"(1,)",Fasttext,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM",TRUE,TRUE
3 (0.8),3 (0.76),3 (0.64),4 (0.68),3 (0.84),3 (0.72),3 (0.68),4 (0.76),1 (0.76),3 (0.64),3 (0.72),2 (0.64),2 (0.84),3 (0.72),3 (0.64),2,"BERT,LLAMA,W2V,MISTRAL","(3, 3, 2, 3)",W2V,"BiLSTM, CNN, KNN, XGBoost",TRUE,TRUE
4 (0.92),4 (0.8),5 (0.88),5 (0.84),1 (0.88),5 (0.76),5 (0.8),4 (0.84),4 (0.84),2 (0.8),2 (1.0),5 (0.92),3 (0.8),5 (0.76),1 (0.8),5,"ELMO,LLAMA3","(5, 5)",ELMO,"LR, MLP",TRUE,TRUE
4 (0.8),1 (0.76),4 (0.88),4 (0.8),3 (0.8),5 (0.56),4 (0.76),4 (0.76),3 (0.8),4 (0.88),4 (0.84),5 (0.8),5 (0.8),4 (0.68),4 (0.52),5,MISTRAL,"(4,)",MISTRAL,"BiLSTM, CNN, KNN",FALSE,TRUE
0 (0.76),1 (0.8),4 (0.76),4 (0.68),4 (0.84),4 (0.96),4 (0.68),3 (0.76),3 (0.8),4 (0.88),3 (0.84),1 (0.84),3 (0.88),4 (0.8),4 (0.92),4,"DistilBERT,Falcon","(4, 4)",DistilBERT,"LR, NB, XGBoost",TRUE,TRUE
3 (0.76),2 (0.88),0 (0.72),1 (0.8),2 (0.72),3 (0.84),2 (0.92),1 (0.72),3 (0.8),2 (0.72),2 (0.76),3 (0.68),0 (0.84),2 (0.84),2 (0.88),3,W2V,"(3,)",W2V,"AdaBoost, KNN, LR, MLP, RF, SVM, XGBoost",TRUE,TRUE
1 (0.88),1 (0.8),1 (0.6),1 (0.8),1 (0.76),1 (0.76),3 (0.76),3 (0.68),1 (0.72),3 (0.6),1 (0.8),2 (0.64),1 (0.6),3 (0.72),3 (0.72),3,"BERT,LLAMA,XLNET","(1, 3, 1)",LLAMA,"BiLSTM, CNN, KNN, MLP, RF, SVM",TRUE,TRUE
2 (0.8),3 (0.56),1 (0.8),3 (0.72),2 (0.72),1 (0.84),1 (0.76),1 (0.8),3 (0.8),1 (0.72),1 (0.8),1 (0.84),5 (0.84),1 (0.76),1 (0.68),4,BART,"(3,)",BART,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
3 (0.8),3 (0.88),3 (0.72),3 (0.84),1 (0.92),4 (0.8),4 (0.52),4 (0.68),3 (0.76),4 (0.8),3 (0.52),4 (0.72),5 (0.76),3 (0.76),4 (0.68),1,"Falcon,RoBERTa","(4, 3)",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
4 (0.68),4 (0.68),4 (0.88),1 (0.84),4 (0.72),4 (0.68),4 (0.56),4 (0.92),4 (0.88),4 (0.88),3 (0.84),3 (0.68),4 (0.76),4 (0.72),4 (0.64),4,Falcon,"(4,)",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
3 (0.84),3 (0.8),4 (0.96),1 (0.72),1 (0.76),1 (0.8),1 (0.88),1 (0.84),3 (0.8),1 (0.88),1 (0.6),5 (0.76),5 (0.92),1 (0.92),1 (0.76),0,RoBERTa,"(1,)",RoBERTa,"BiLSTM, CNN, KNN, MLP, NB, SVM, XGBoost",FALSE,FALSE
3 (0.76),3 (0.72),3 (0.64),3 (0.92),4 (0.64),3 (0.84),3 (0.88),3 (0.8),3 (0.68),3 (0.76),3 (0.76),3 (0.72),3 (0.84),3 (0.8),3 (0.88),4,"BERT,ELECTRA","(3, 4)",ELECTRA,"BiLSTM, CNN, LR, RF, SVM",TRUE,TRUE
1 (0.72),3 (0.68),1 (0.84),3 (0.8),4 (0.8),5 (0.8),3 (0.92),3 (0.68),3 (0.88),3 (0.76),3 (0.76),3 (0.8),4 (0.88),3 (0.84),3 (0.72),4,"BART,Fasttext","(3, 3)",BART,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
